lib,dim,nb_points,time
SMT_2.9.0,5,10,0.0004059400002006441
SMT_2.9.0,5,50,0.0008869600016623736
SMT_2.9.0,5,100,0.00033307999838143586
SMT_2.9.0,5,250,0.0010348799987696111
SMT_2.9.0,5,500,0.0011110000021290034
SMT_2.9.0,5,1000,0.0010979400016367436
SMT_2.9.0,10,10,0.0005271400033961982
SMT_2.9.0,10,50,0.00032763999770395457
SMT_2.9.0,10,100,0.0004099199955817312
SMT_2.9.0,10,250,0.0007121999980881811
SMT_2.9.0,10,500,0.0010647599992807955
SMT_2.9.0,10,1000,0.0007204199966508896
SMT_2.9.0,20,10,0.0003821799997240305
SMT_2.9.0,20,50,0.0005061000003479422
SMT_2.9.0,20,100,0.00099358000443317
SMT_2.9.0,20,250,0.0012127400026656688
SMT_2.9.0,20,500,0.0012023799994494767
SMT_2.9.0,20,1000,0.0014462399994954467
SMT_2.9.0,100,10,0.0012291799997910858
SMT_2.9.0,100,50,0.0014519200020004063
SMT_2.9.0,100,100,0.0015892600000370293
SMT_2.9.0,100,250,0.0018483399995602666
SMT_2.9.0,100,500,0.0056933799991384145
SMT_2.9.0,100,1000,0.006320879998384044
SMT_2.9.0,200,10,0.0019445800047833473
SMT_2.9.0,200,50,0.005076379998354241
SMT_2.9.0,200,100,0.005588900001021102
SMT_2.9.0,200,250,0.00528819999890402
SMT_2.9.0,200,500,0.004958799999440089
SMT_2.9.0,200,1000,0.01592277999734506
SMT_2.9.0,500,10,0.0066478400025516745
SMT_2.9.0,500,50,0.004537419998086989
SMT_2.9.0,500,100,0.0054197599994949995
SMT_2.9.0,500,250,0.009667300002183766
SMT_2.9.0,500,500,0.02931205999921076
SMT_2.9.0,500,1000,0.024114820000249892
EGOBOX_0.25.1,5,10,2.832000027410686e-05
EGOBOX_0.25.1,5,50,2.3100001271814108e-05
EGOBOX_0.25.1,5,100,2.9060000088065863e-05
EGOBOX_0.25.1,5,250,0.00011421999661251903
EGOBOX_0.25.1,5,500,0.0002504400035832077
EGOBOX_0.25.1,5,1000,0.00036293999874033035
EGOBOX_0.25.1,10,10,5.315999733284116e-05
EGOBOX_0.25.1,10,50,0.00014465999556705355
EGOBOX_0.25.1,10,100,4.160000244155526e-05
EGOBOX_0.25.1,10,250,6.0120003763586285e-05
EGOBOX_0.25.1,10,500,0.00010287999757565557
EGOBOX_0.25.1,10,1000,0.0004137400013860315
EGOBOX_0.25.1,20,10,7.851999835111201e-05
EGOBOX_0.25.1,20,50,0.00014336000313051045
EGOBOX_0.25.1,20,100,0.00015764000127092004
EGOBOX_0.25.1,20,250,0.00013700000126846135
EGOBOX_0.25.1,20,500,0.00017290000105276703
EGOBOX_0.25.1,20,1000,0.0007330599997658283
EGOBOX_0.25.1,100,10,0.0003409600001759827
EGOBOX_0.25.1,100,50,0.0004482399963308126
EGOBOX_0.25.1,100,100,0.0005556599993724376
EGOBOX_0.25.1,100,250,0.0007985400035977364
EGOBOX_0.25.1,100,500,0.0010702800005674361
EGOBOX_0.25.1,100,1000,0.0016224200022406875
EGOBOX_0.25.1,200,10,0.0003718600026331842
EGOBOX_0.25.1,200,50,0.0005161200009752065
EGOBOX_0.25.1,200,100,0.0005861999990884215
EGOBOX_0.25.1,200,250,0.0010610199999064208
EGOBOX_0.25.1,200,500,0.009016760002123193
EGOBOX_0.25.1,200,1000,0.005511740001384169
EGOBOX_0.25.1,500,10,0.0009142399998381734
EGOBOX_0.25.1,500,50,0.0011881600017659365
EGOBOX_0.25.1,500,100,0.0014920599991455675
EGOBOX_0.25.1,500,250,0.002663759997813031
EGOBOX_0.25.1,500,500,0.006733200000599027
EGOBOX_0.25.1,500,1000,0.01674666000180878
