lib,dim,nb_points,time
SMT_2.9.0,5,10,0.0015140199975576252
SMT_2.9.0,5,50,0.0014962999965064227
SMT_2.9.0,5,100,0.0007967999961692839
SMT_2.9.0,5,250,0.0026642600016202776
SMT_2.9.0,5,500,0.006273260002490133
SMT_2.9.0,5,1000,0.01920414000051096
SMT_2.9.0,10,10,0.0009899999946355819
SMT_2.9.0,10,50,0.0022545200015883895
SMT_2.9.0,10,100,0.0028940999996848404
SMT_2.9.0,10,250,0.005038799997419119
SMT_2.9.0,10,500,0.013674900005571543
SMT_2.9.0,10,1000,0.036623539996799084
SMT_2.9.0,20,10,0.002622320002410561
SMT_2.9.0,20,50,0.002288159995805472
SMT_2.9.0,20,100,0.003924579999875277
SMT_2.9.0,20,250,0.0045543999993242325
SMT_2.9.0,20,500,0.009392499999376015
SMT_2.9.0,20,1000,0.03999680000124499
SMT_2.9.0,100,10,0.00601244000135921
SMT_2.9.0,100,50,0.004422679997514933
SMT_2.9.0,100,100,0.0067268400045577435
SMT_2.9.0,100,250,0.01576152000343427
SMT_2.9.0,100,500,0.035256959998514505
SMT_2.9.0,100,1000,0.1331620600016322
SMT_2.9.0,200,10,0.005525580001994967
SMT_2.9.0,200,50,0.011455539998132735
SMT_2.9.0,200,100,0.015441080002347007
SMT_2.9.0,200,250,0.022235799999907612
SMT_2.9.0,200,500,0.05776465999661014
SMT_2.9.0,200,1000,0.2274719799985178
SMT_2.9.0,500,10,0.01537440000101924
SMT_2.9.0,500,50,0.01615851999958977
SMT_2.9.0,500,100,0.028048319998197256
SMT_2.9.0,500,250,0.06423137999954634
SMT_2.9.0,500,500,0.17495765999774449
SMT_2.9.0,500,1000,0.5694256799994036
EGOBOX_0.25.1,5,10,7.401999901048839e-05
EGOBOX_0.25.1,5,50,9.663999662734568e-05
EGOBOX_0.25.1,5,100,0.0008959200000390411
EGOBOX_0.25.1,5,250,0.0026006000000052152
EGOBOX_0.25.1,5,500,0.0095123200037051
EGOBOX_0.25.1,5,1000,0.0386292000010144
EGOBOX_0.25.1,10,10,0.00011431999737396837
EGOBOX_0.25.1,10,50,0.00013605999993160367
EGOBOX_0.25.1,10,100,0.001222340000094846
EGOBOX_0.25.1,10,250,0.002185499999905005
EGOBOX_0.25.1,10,500,0.008608999999705703
EGOBOX_0.25.1,10,1000,0.03750429999781772
EGOBOX_0.25.1,20,10,6.310000317171216e-05
EGOBOX_0.25.1,20,50,0.0005210000032093376
EGOBOX_0.25.1,20,100,0.002017780003370717
EGOBOX_0.25.1,20,250,0.003500860003987327
EGOBOX_0.25.1,20,500,0.018278400000417604
EGOBOX_0.25.1,20,1000,0.06773859999957495
EGOBOX_0.25.1,100,10,0.0006535599997732789
EGOBOX_0.25.1,100,50,0.002908659999957308
EGOBOX_0.25.1,100,100,0.007975499995518475
EGOBOX_0.25.1,100,250,0.02597544000018388
EGOBOX_0.25.1,100,500,0.07627185999881476
EGOBOX_0.25.1,100,1000,0.26729561999673024
EGOBOX_0.25.1,200,10,0.0014430000039283187
EGOBOX_0.25.1,200,50,0.004407740000169724
EGOBOX_0.25.1,200,100,0.008864119998179376
EGOBOX_0.25.1,200,250,0.04271834000246599
EGOBOX_0.25.1,200,500,0.15862010000273585
EGOBOX_0.25.1,200,1000,0.5639021599956322
EGOBOX_0.25.1,500,10,0.003551060002064332
EGOBOX_0.25.1,500,50,0.005226080003194511
EGOBOX_0.25.1,500,100,0.02406212000059895
EGOBOX_0.25.1,500,250,0.11428337999968789
EGOBOX_0.25.1,500,500,0.3837065400031861
EGOBOX_0.25.1,500,1000,1.6208730999962426
